0:0:9 | huso608(11): inceliyorum
0:0:18 | [CMD] huso608(11) => /bugbildir
0:0:24 | [CMD] Jodor(0) => /c beyler seri olalaým
0:0:27 | huso608(11): @12  /bugbildir
0:0:32 | [CMD] Jodor(0) => /c sw res gelecek birazdan
0:0:44 | [CMD] DarkFlow(6) => /tamir
0:0:45 | [A.s.i]KraL(12): Ben Soyledim Bildiri Yapmaya Gerek Yok Orasý Sende Huso ;)
0:0:52 | [CMD] GSpor1991(10) => /tam
0:0:58 | [CMD] GSpor1991(10) => /tam
0:1:1 | [CMD] GSpor1991(10) => /tamir
0:1:12 | [CMD] huso608(11) => /specoff
0:1:12 | huso608(11) Oduncu olarak spawn oldu.
0:1:14 | [A.s.i]KraL(12): Admin Ýzlemeden MÝ Bakýyorsun ?
0:1:16 | [CMD] huso608(11) => /work
0:1:21 | [CMD] BeylerBeyi(19) => /asay Ýstek þarký olmadýðý için rastgele açýlmýþtýr... 
0:1:22 | [CMD] BeylerBeyi(19) => /asay Ýstek þarký için "/isteksarki <id>" yazýp bize iletebilirsiniz...  
0:1:23 | [CMD] Sancak(7) => /setsirketsahipt
0:1:24 | [CMD] Sancak(7) => /setsirketsahip
0:1:29 | huso608(11): orasý bizim inceledigimiz konu 
0:1:29 | [CMD] Sancak(7) => /setsirketsahip 3 31
0:1:40 | [CMD] Sancak(7) => /setsirketsahip 3 BeylerBeyi
0:1:42 | [CMD] Sancak(7) => /sirketver
0:1:49 | [CMD] sezzer(8) => /c eyw jodor
0:1:52 | [CMD] Sancak(7) => /sirketver 19 3 3
0:1:53 | [LOCAL][cCc]HulkHulk[cCc](27): reis sal beee
0:1:53 | [CMD] [cCc]HulkHulk[cCc](27) => /l reis sal beee
0:2:1 | BeylerBeyi(19): Eyw
0:2:3 | huso608(11): Hayýrlýsý Olsun
0:2:5 | [CMD] Sancak(7) => /paragonder
0:2:6 | Jodor(0): beylerbeyi hayýrlý olsun
0:2:9 | [CMD] Sancak(7) => /sirketpara
0:2:11 | [CMD] Sancak(7) => /sirketparaver
0:2:11 | Konyali42(15): h.o.
0:2:13 | Jodor(0): sancak bize 10 dk veriri misin
0:2:14 | BeylerBeyi(19): Saðolun beyler :)
0:2:14 | [CMD] nefariouss(13) => /tamir
0:2:17 | [CMD] Sancak(7) => /sirketparaver 3 15000000
0:2:23 | Jodor(0): convoydayýz
0:2:26 | sezzer(8): þirket mi açtýn knk h.o
0:2:33 | BeylerBeyi(19): aynen eyw
0:2:33 | [LOCAL][cCc]HulkHulk[cCc](27): reis sal beee
0:2:33 | [CMD] [cCc]HulkHulk[cCc](27) => /l reis sal beee
0:2:34 | [LOCAL][cCc]HulkHulk[cCc](27): reis sal beee
0:2:34 | [CMD] [cCc]HulkHulk[cCc](27) => /l reis sal beee
0:2:35 | [LOCAL][cCc]HulkHulk[cCc](27): reis sal beee
0:2:35 | [CMD] [cCc]HulkHulk[cCc](27) => /l reis sal beee
0:2:35 | DarkFlow(6): h.o
0:2:35 | [LOCAL][cCc]HulkHulk[cCc](27): reis sal beee
0:2:35 | [CMD] [cCc]HulkHulk[cCc](27) => /l reis sal beee
0:2:36 | [LOCAL][cCc]HulkHulk[cCc](27): reis sal beee
0:2:36 | [CMD] [cCc]HulkHulk[cCc](27) => /l reis sal beee
0:2:40 | [CMD] [cCc]HulkHulk[cCc](27) => /þ yapmaaaa :(
0:2:44 | [CMD] BeylerBeyi(19) => /sirket
0:2:49 | [CMD] [cCc]HulkHulk[cCc](27) => /modifiye
0:2:52 | [CMD] [A.s.i]KraL(12) => /pm 27 sonradan yazdýn haci yoksa salardým
0:2:53 | [CMD] huso608(11) => /work
0:3:0 | Jodor(0): yer nere beylerbeyi
0:3:7 | BeylerBeyi(19): LV
0:3:12 | [CMD] Sancak(7) => /asay BeylerBeyi Adlý Yetkilimize Þirketti Hayýrlý Uðurlu OIsun Tekerinize Taþ Deðmesin.
0:3:12 | Jodor(0): anladým
0:3:15 | BeylerBeyi(19): Bozokun gerisinde
0:3:15 | Jodor(0): iyi çok iyi
0:3:20 | [CMD] huso608(11) => /a sancak
0:3:24 | [CMD] Sancak(7) => /a evet
