0:0:2 | [CMD] ahmet55(6) => /buybus
0:0:4 | [CMD] xqHost(9) => /c 3 uyarýda kick
0:0:6 | [ARAC] Jodor(20), 129 ID'li Slamvan model araci 38000000$'a satin aldi.
0:0:9 | huso608(13): hüseyin gisesimi
0:0:15 | [CMD] xqHost(9) => /c oradn deil
0:0:16 | _EmiiR(10): hee
0:0:16 | [CMD] Jodor(20) => /araba
0:0:19 | [CMD] xqHost(9) => /c he baso rdan
0:0:32 | huso608(13): hüseyin beye soyleyeceksin
0:0:32 | ahmet55(6): vay arkadas kumarhane var param yetmýyor
0:0:33 | [CMD] xqHost(9) => /c saðda yazar kaç m kaldý
0:0:34 | Reader(14) oyuna girdi [IP: 85.96.110.0]
0:0:38 | huso608(13): benim yok gisem
0:0:43 | [CMD] huso608(13) => /work
0:0:45 | 
0:0:45 | Reader(14) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:0:51 | _EmiiR(10): huseyin
0:0:52 | [CMD] huso608(13) => /pm 6 ne kadar lazým
0:0:54 | _EmiiR(10): yazýyodu
0:1:2 | [CMD] xqHost(9) => /paragonder 12 30000
0:1:5 | huso608(13): a7 huseyin olan o
0:1:13 | _EmiiR(10): karýþtýrdým olum
0:1:22 | [CMD] Jodor(20) => /vtamir
0:1:23 | huso608(13) ahmet55(6)'a 1900000$ para gönderdi
0:1:23 | [CMD] huso608(13) => /paragonder 6 1900000
0:1:26 | [CMD] Jodor(20) => /araba
0:1:28 | [CMD] xqHost(9) => /c þimdi baþka yere gitcez yük almak için
0:1:30 | [CMD] xqHost(9) => /c burdan yük alýnmýo
0:1:32 | [CMD] ZORLU(12) => /c tamam
0:1:39 | [CMD] xqHost(9) => /c emir ver yükü
0:1:41 | [CMD] Jodor(20) => /ev
0:1:49 | [CMD] xqHost(9) => /c zorlu çekil
0:2:2 | [CMD] xqHost(9) => /C takip edin þimdi
0:2:5 | [CMD] Jodor(20) => /gobus
0:2:10 | [CMD] Jodor(20) => /icerigir
0:2:10 | [CMD] ahmet55(6) => /pm 13  9500000 fiyatý 
0:2:11 | [CMD] huso608(13) => /pm 6 yettimi
0:2:13 | [CMD] Jodor(20) => /isyerimenu
0:2:17 | [CMD] xqHost(9) => /C gel emir
0:2:18 | [CMD] Jodor(20) => /isyerimenu
0:2:21 | [CMD] huso608(13) => /pm 6 ne kadar lazým
0:2:23 | [CMD] huso608(13) => /work
0:2:30 | [CMD] Jodor(20) => /icerigir
0:2:33 | [CMD] Jodor(20) => /isyerimenu
0:2:41 | [CMD] Jodor(20) => /isyerimenu
0:2:41 | xqHost(9) ZORLU(12)'a 30000$ para gönderdi
0:2:41 | [CMD] xqHost(9) => /paragonder 12 30000
0:2:47 | [CMD] Jodor(20) => /gobus
0:2:48 | [CMD] ahmet55(6) => /pm 13 bende 5602555 bu kadar var
0:2:54 | [CMD] ZORLU(12) => /c hadi emir
0:2:54 | [CMD] Jodor(20) => /icerigir
0:2:58 | [CMD] Jodor(20) => /isyerimenu
0:3:4 | [CMD] xqHost(9) => /c dikkat edin þu dorselere çýkýyor
0:3:5 | [CMD] _EmiiR(10) => /tamir
0:3:5 | [CMD] Jodor(20) => /rescue
0:3:10 | [CMD] Jodor(20) => /isyerimenu
0:3:14 | [CMD] huso608(13) => /pm 6 4 m lazým sana
0:3:17 | [CMD] ZORLU(12) => /c nere la
0:3:22 | [CMD] ahmet55(6) => /pm 13 evet
0:3:27 | [CMD] xqHost(9) => /c ilerden saða döncez ordan dümdüz kaptýrýn
0:3:42 | Reader(14) oyuna girdi [IP: 85.96.110.0]
0:3:43 | [CMD] huso608(13) => /pm 6 bekle biraz yollayayým sana 5 dakika da bir veriyor ya
0:3:46 | (BANKA) Jodor(20) 1378 nolu banka hesabina 39000000$ yatirdi.
0:3:51 | [CMD] xqHost(9) => /c saða dön emir
0:3:55 | [CMD] Jodor(20) => /sirket
0:3:55 | 
0:3:55 | Reader(14) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
