0:0:1 | [CMD] Jodor(12) => /vipler 
0:0:2 | [CMD] emre_cool(18) => /meslek
0:0:3 | [CMD] [cCc]HulkHulk[cCc](13) => /tamir
0:0:7 | GravLaunch(10): pilot olmasýn o
0:0:7 | {FFCC00}emre_cool(18) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
0:0:7 | [CMD] SiskoDayi(19) => /sirketdorse
0:0:7 | [CMD] FurkanBey(11) => /isteksarki 760 
0:0:10 | Freezer3543(7) oyuna girdi [IP: 85.96.109.184]
0:0:10 | [CMD] emre_cool(18) => /sa
0:0:11 | [CMD] FurkanBey(11) => /atamir
0:0:14 | [CMD] DarkFlow(8) => /as
0:0:15 | [CMD] Jodor(12) => /as
0:0:15 | [CMD] SiskoDayi(19) => /as
0:0:16 | [CMD] gorkemu24(0) => /as
0:0:17 | [CMD] ASLANBEY(9) => /as
0:0:17 | [LOCAL]FurkanBey(11): baklavafistik :D 
0:0:17 | [CMD] FurkanBey(11) => /l baklavafistik :D 
0:0:18 | huso608(17): ben gercek dunyadan bahsediyom
0:0:21 | 
0:0:22 | [CMD] emre_cool(18) => /kemer
0:0:24 | Freezer3543(7) Mafya olarak spawn oldu.
0:0:24 | [CMD] GravLaunch(10) => /as
0:0:27 | emre_cool(18): tmm huso bey
0:0:27 | [CMD] SiskoDayi(19) => /saat 23 00
0:0:28 | huso608(17): bu yasta yapmadýgým is kalmadý
0:0:29 | [CMD] Freezer3543(7) => /rescue
0:0:37 | gorkemu24(0): uzayýn bey sakýn ol 
0:0:45 | [CMD] GravLaunch(10) => /tamir
0:0:45 | [CMD] FurkanBey(11) => /atamir
0:0:45 | emre_cool(18): huso bey sizin geröek hayatta ki mesleðiniz nedir acaba ?
0:0:45 | huso608(17): uzayýn derken
0:0:47 | [LOCAL]HeRquL(6): :D
0:0:47 | [CMD] HeRquL(6) => /l :D
0:0:50 | [CMD] GravLaunch(10) => /status
0:0:52 | emre_cool(18): huso bey sizin gerçek hayatta ki mesleðiniz nedir acaba ?
0:0:52 | [CMD] GravLaunch(10) => /basarimlar
0:0:53 | gorkemu24(0): bizde uzayýn dýyolar
0:0:57 | huso608(17): guvenlik ve koruma sistemi
0:0:57 | [CMD] GravLaunch(10) => /stats
0:0:59 | gorkemu24(0): kayserýler
0:1:0 | [CMD] emre_cool(18) => /modifiye
0:1:1 | [LOCAL]HeRquL(6): azdým azdým sana yazdým 
0:1:1 | [CMD] HeRquL(6) => /l azdým azdým sana yazdým 
0:1:5 | emre_cool(18): tmm
0:1:9 | [CMD] GravLaunch(10) => /stats
0:1:11 | [LOCAL]FurkanBey(11): :DDD
0:1:11 | [CMD] FurkanBey(11) => /l :DDD
0:1:20 | huso608(17): ama insaatcýlýk ve diger sektorlerde cok calýstým
0:1:26 | huso608(17): bi pc isinden anlamam
0:1:37 | [CMD] ClipCamper20(21) => /tamir
0:1:45 | gorkemu24(0): onu yapan pc de yapar
0:1:47 | [CMD] FurkanBey(11) => /atamir
0:1:58 | huso608(17): roket atmayý ogreneyim yeter
0:1:58 | GravLaunch(10): beyler sevdiðim kýz var açýlamýyorum arkadaþlarýndan öðrenmiþ kýz beni seviyormuþ napcam
0:1:59 | gorkemu24(0): pc de yapýlacak birþey yok baba
0:2:0 | [CMD] GravLaunch(10) => /work
0:2:2 | [CMD] gorkemu24(0) => /work
0:2:10 | [cCc]HulkHulk[cCc](13): mugo korkanýn çocu olmaz
0:2:11 | [CMD] gorkemu24(0) => /goreviptal
0:2:12 | FurkanBey(11): @10 boþver itiraf etme :D w
0:2:12 | [CMD] gorkemu24(0) => /work
0:2:15 | GravLaunch(10): öðrendim *
0:2:16 | [CMD] gorkemu24(0) => /goreviptal
0:2:18 | [CMD] gorkemu24(0) => /work
0:2:19 | [CMD] gorkemu24(0) => /goreviptal
0:2:20 | [CMD] gorkemu24(0) => /goreviptal
0:2:21 | [CMD] gorkemu24(0) => /goreviptal
0:2:24 | [CMD] gorkemu24(0) => /work
0:2:28 | huso608(17): pc de is vok meslek cok para yok
0:2:28 | Jodor(12): kýzýn aðzýný ara
0:2:29 | emre_cool(18): sisko dayý dur
0:2:35 | FurkanBey(11): pardon
0:2:37 | [CMD] [cCc]HulkHulk[cCc](13) => /tamir
0:2:38 | [CMD] FurkanBey(11) => /atamir
0:2:40 | [CMD] HeRquL(6) => /cantazele
0:2:42 | GravLaunch(10): niye ki
0:2:45 | [CMD] FurkanBey(11) => /work
0:2:52 | Jodor(12): bu olay gerçek mi diye
0:2:54 | [LOCAL]SiskoDayi(19): :D
0:2:54 | [CMD] SiskoDayi(19) => /l :D
0:2:54 | GravLaunch(10): kýz kankalarý var tanýdýðým
0:3:0 | gorkemu24(0): pc iþi çöp bulaþmayýn türkiyede iþ miþ yok üniversite mezunu da olsan yallah sanayi
0:3:0 | Jodor(12): belki arkadaþlarýn seni iþletiyordur
0:3:9 | [CMD] emre_cool(18) => /kemer
0:3:10 | [CMD] emre_cool(18) => /tamir
0:3:12 | GravLaunch(10): yok onlar beni tanýr yamuk yapmazlar
0:3:21 | huso608(17): sanayi gene iyi usta en fazla levyeyi geciriyor
0:3:23 | GravLaunch(10): ayný mahallenin çocuðuyuz .d
0:3:23 | FurkanBey(11): türkiyede neden böyle :/
0:3:25 | Jodor(12): o zaman git kýzlar muhabbet kur
0:3:30 | Jodor(12): önce arkadaþ ol
0:3:33 | huso608(17): pc sýkýntý kafaya fýrlatýyor koca kasayý
0:3:34 | GravLaunch(10): arkadaþým
0:3:36 | GravLaunch(10): sýnýf arkadaþým
0:3:36 | Jodor(12): sonra birbirinize açýlýrsýnýzw
0:3:38 | SiskoDayi(19): dorse býrakma kodu ne
0:3:41 | FurkanBey(11): din öðretmeni çok alýyorlar :D w
0:3:42 | GravLaunch(10):  /kasabirak
0:3:44 | huso608(17):   /kasabirak
0:3:45 | [CMD] SiskoDayi(19) => /kasabirak
0:3:49 | GravLaunch(10): oðlum bizim bi dinci vardý
0:3:49 | [SirketCHT] Jodor(12): ! kitlendi ya
0:3:50 | emre_cool(18):  @10 erkek adam gibi çýkcan kýzýn karþýsýna seni seviyorum veya seni sevmiyorum diyiceksin...Karar senin
0:3:59 | GravLaunch(10): sýnav esnasýnda hocaya derdik ki hocam bu soru ne derdik 
0:4:3 | huso608(17): @18 masallah
0:4:3 | GravLaunch(10): hoca söyleyemem sýnavdayýz derdi
0:4:9 | gorkemu24(0): türkiyede ya topçu ya travesti yada popçu olacan 
0:4:9 | emre_cool(18): :D
0:4:11 | GravLaunch(10): daha sonra gelir
0:4:12 | huso608(17): keske hersey dedigin gibi olsa
0:4:19 | GravLaunch(10): bu d oðlum bak yanlýþ yapmýþsýn derdi
0:4:19 | emre_cool(18): oluyorda
0:4:23 | huso608(17): burada uzman doktorunuz var
0:4:26 | [CMD] [cCc]HulkHulk[cCc](13) => /tamir
0:4:26 | FurkanBey(11): yurtta kalan arkadaþlarým sýnav kaðýtlarýný fotorafladýlar :D 
0:4:26 | [SirketCHT] Jodor(12): ! patronlar gaza basýyor :D
0:4:27 | emre_cool(18): kim ?
0:4:29 | FurkanBey(11): 100 aldý herkes
0:4:30 | huso608(17): o isler liseli icin gecerli
0:4:33 | [CMD] batu.123(20) => /tamir
0:4:35 | [SirketCHT] ASLANBEY(9): !:D
0:4:37 | GravLaunch(10): bir tane çocuk var
0:4:39 | huso608(17): bende 3 hatun var
0:4:41 | [SirketCHT] DarkFlow(8): ! :D
0:4:41 | [CMD] FurkanBey(11) => /atamir
0:4:42 | emre_cool(18): :D
0:4:50 | GravLaunch(10): küçük sevdiði kýza seviyorum kýzým seni diyor biliyonuz mu onu aS:DWQ
0:4:52 | gorkemu24(0): maþallah maþallah
0:4:59 | [CMD] SiskoDayi(19) => /sac
0:5:1 | huso608(17): 3 unu bile zor idare ediyorum yakýnda 4 lucez okey takýmý icin
0:5:6 | [CMD] SiskoDayi(19) => /vipneon
0:5:11 | GravLaunch(10): :ASDWQ:
0:5:14 | gorkemu24(0): zar atcan mý huseyýn baba
0:5:19 | GravLaunch(10): 4 e de ben geleyim
0:5:22 | emre_cool(18): maþallah huso bey rekor kýrýcan galiba hedefin o mu ?
0:5:25 | GravLaunch(10): yada yancýn olayým hüseyin reis :D
0:5:26 | huso608(17): okeye donelim sonra zara bakarýz
0:5:26 | [CMD] emre_cool(18) => /tamir
0:5:29 | [CMD] emre_cool(18) => /cevir
0:5:30 | DarkFlow(8): huseyin harem kuruyo yakýnda
0:5:31 | [CMD] FurkanBey(11) => /atamir
0:5:31 | [CMD] Jodor(12) => /vtamir
0:5:31 | [CMD] emre_cool(18) => /cevir
0:5:33 | DarkFlow(8): :D
0:5:36 | [CMD] emre_cool(18) => /cevird
0:5:38 | [CMD] emre_cool(18) => /cevir
0:5:40 | [CMD] Jodor(12) => /vbenzin
0:5:43 | [CMD] FurkanBey(11) => /atamir
0:5:44 | [CMD] huso608(17) => /duyuru Harem mi 
0:5:45 | [CMD] FurkanBey(11) => /atamir
0:5:48 | emre_cool(18): @6 beni þurdan kurtarýrmýsýn
0:5:57 | [CMD] huso608(17) => /spec 18
0:5:58 | [CMD] FurkanBey(11) => /atamir
0:6:1 | GravLaunch(10): 10 dakkada bi açtýðým konuyu yokluyorum
0:6:5 | emre_cool(18): biri beni burdan kurtarabilirmi ?
0:6:5 | GravLaunch(10): cevap varmý yok mu diye
0:6:6 | huso608(17): hidrolik taksan
0:6:7 | [CMD] Freezer3543(7) => /afk
0:6:14 | [CMD] huso608(17) => /specoff
0:6:14 | huso608(17) Oduncu olarak spawn oldu.
0:6:15 | gorkemu24(0): instagramda karýlar 40 bin tl kazandým annem yazýyor welcome to turkey
0:6:17 | [CMD] huso608(17) => /goto 18
0:6:23 | GravLaunch(10): AS:DQ
0:6:24 | [CMD] huso608(17) => /get 18
0:6:25 | [CMD] SiskoDayi(19) => /vtamir
0:6:28 | [CMD] SiskoDayi(19) => /vbenzin
0:6:29 | emre_cool(18): eyw huso bey
0:6:32 | [CMD] emre_cool(18) => /tamir
0:6:35 | [CMD] SiskoDayi(19) => /! gelcekmisiniz ordan harbourda
0:6:41 | huso608(17): @18 /modifiye Hidrolik tak isin kolaylasýr
0:6:41 | [SirketCHT] SiskoDayi(19): ! gelcekmisiniz ordan harbourda
0:6:46 | [SirketCHT] DarkFlow(8): ! evet
0:6:52 | emre_cool(18): tmm önerin için saðol iyi oyunlar sana
0:6:52 | huso608(17): Doktor Tavsiyesi
0:6:53 | GravLaunch(10): Beyler çaktýrmayýn kýz için voleybola gidiyorum
0:6:54 | [SirketCHT] SiskoDayi(19): ! oky bekliyom ben orda
0:6:58 | GravLaunch(10): ama cidden güzel oynuyormuþum ha
0:7:7 | [CMD] DarkFlow(8) => /tamir
0:7:7 | gorkemu24(0): eskorta atlayan varmý aranýzda
0:7:11 | [SirketCHT] Jodor(12): ! geç gelecez dayi
0:7:19 | GravLaunch(10): arap ayþe
0:7:19 | [SirketCHT] SiskoDayi(19): ! Niye trafikmi var :d
0:7:19 | huso608(17): voleybol sanat isi senin art ta isin belli oluyor
