0:0:1 | Axefi(21): :D
0:0:4 | emre_cool(10): þuan sadece @23 ve @21 bey sohbet ediyor :D
0:0:14 | sezzer(23): gel fabriikanýn borularýna girelim
0:0:18 | [CMD] BeylerBeyi(7) => /d kapýyý zaten o koymayacakki
0:0:26 | [CMD] BeylerBeyi(7) => /d kapýyý þirket kurulurken konulacak
0:0:36 | [CMD] nik0tin(17) => /d en sonda koyuluyor 
0:0:38 | sezzer(23): tam tinerci mekaný mk
0:0:43 | Axefi(21): hahaha aynen :D
0:0:44 | emre_cool(10): huso bir hafta vip 10 tl deðilmi
0:0:46 | [CMD] sezzer(23) => /otur
0:0:46 | [CMD] emre_cool(10) => /cevir
0:0:47 | [CMD] huso608(19) => /d kapý olsa ne olacak sanki
0:0:50 | [CMD] Axefi(21) => /animlist
0:0:51 | [CMD] nik0tin(17) => /uyar 23 Üslup 
0:0:53 | emre_cool(10): niko yardým
0:0:54 | [CMD] BeylerBeyi(7) => /d yok caným ben þirketi aldýðýmda kapýsý yoktu
0:0:58 | [CMD] Axefi(21) => /saklan
0:0:59 | huso608(19): su an 23 nisan kampanyasý 
0:0:59 | emre_cool(10): araç buga girdi
0:0:59 | [CMD] BeylerBeyi(7) => /d sonradan eklendi
0:1:3 | [CMD] BeylerBeyi(7) => /d senin yanlýþýn var
0:1:3 | [CMD] nik0tin(17) => /goto 10 
0:1:7 | [CMD] nik0tin(17) => /get 10
0:1:7 | [ANTIHACK] Þüpheli emre_cool(10) => Airbreak-hack
0:1:8 | emre_cool(10): selam
0:1:9 | [CMD] Axefi(21) => /animkapat
0:1:11 | sezzer(23): zýçma pozisyonuna geçti adam :D
0:1:12 | [CMD] Axefi(21) => /animlist
0:1:13 | [CMD] emre_cool(10) => /cevir
0:1:15 | [CMD] emre_cool(10) => /vtamir
0:1:15 | [CMD] huso608(19) => /spec 10
0:1:24 | [CMD] huso608(19) => /specoff
0:1:24 | emre_cool(10): eyw niko
0:1:24 | huso608(19) Pizzaci olarak spawn oldu.
0:1:26 | [CMD] sezzer(23) => /animkapat
0:1:29 | emre_cool(10): k.g
0:1:29 | [CMD] nik0tin(17) => /d sen þirket oluþturmayý biliyon mu :D 
0:1:30 | Adem32(0) oyuna girdi [IP: 78.182.7.70]
0:1:32 | [CMD] Axefi(21) => /konus
0:1:42 | [CMD] Axefi(21) => /animkapat
0:1:42 | [CMD] BeylerBeyi(7) => /d hiç a7 olmadým bilmiyorum .D
0:1:43 | Axefi(21): :D
0:1:44 | 
0:1:46 | [CMD] Axefi(21) => /sigara
0:1:46 | {FFCC00}Adem32(0) {FFFFFF}Kamyoncu olarak spawn oldu.
0:1:48 | [CMD] sezzer(23) => /elsalla
0:1:48 | Adem32(0): sa
0:1:49 | [CMD] sezzer(23) => /elsalla
0:1:49 | [CMD] nik0tin(17) => /d biliyorum ben :D 
0:1:50 | [CMD] BeylerBeyi(7) => /as
0:1:51 | [CMD] Axefi(21) => /sigara
0:1:52 | [CMD] emre_cool(10) => /as
0:1:53 | [CMD] swisskobay301(8) => /as
0:1:53 | [CMD] huso608(19) => /as
0:1:53 | emre_cool(10):  /sa /as
0:1:56 | [CMD] Axefi(21) => /animlist
