0:0:1 | [CMD] Madness(31) => /tamir
0:0:4 | [CMD] Moskova_Kurdu(30) => /a Yarýsýný þimdi versem yarýsýný sonra ? 
0:0:13 | _Onur.King_(10) oyuna girdi [IP: 88.252.21.113]
0:0:16 | [CMD] huso608(14) => /a gerek yok sen parayý not al
0:0:19 | [CMD] Moskova_Kurdu(30) => /a Az önce de ASLANBEY e 40M maaþ verdim girdi valla :D 
0:0:32 | 
0:0:34 | [CMD] PENEZ(16) => /tamir
0:0:34 | [CMD] huso608(14) => /a sonra verirsin
0:0:38 | {FFCC00}_Onur.King_(10) {FFFFFF}Kamyoncu olarak spawn oldu.
0:0:40 | [CMD] huso608(14) => /sirket
0:0:40 | Jodor(6): polisinden çevikinden kurtulamayacak mýyýz ya
0:0:45 | [CMD] Moskova_Kurdu(30) => /a Tamamdýr
0:0:47 | _Onur.King_(10): Selamlar Herkese
0:0:49 | [CMD] Moskova_Kurdu(30) => /sirket
0:0:51 | [CMD] HeRquL(8) => /as
0:0:51 | sezzer(26): as
0:0:52 | [CMD] Asi_Kaptan(7) => /as
0:0:55 | [CMD] Madness(31) => /as
0:0:57 | Jodor(6): selammm
0:1:2 | sezzer(26): as
0:1:4 | [CMD] _Onur.King_(10) => /as
0:1:5 | Jodor(6): :)
0:1:12 | _Onur.King_(10): huseyýn burdamý
0:1:18 | _Onur.King_(10): cok ýyý bý admýn ya o
0:1:25 | [CMD] _Onur.King_(10) => /admins
0:1:26 | HeRquL(8): üstad
0:1:28 | HeRquL(8): ama ç ne
0:1:30 | Jodor(6): huso burda
0:1:31 | HeRquL(8): amaç
0:1:39 | Jodor(6): huso baba :)
0:1:44 | huso608(14): buyur
0:1:45 | HeRquL(8): uyarý atýp kaçýyorsun
0:1:45 | [CMD] buyukustadbitti(11) => /tamir
0:1:48 | [CMD] huso608(14) => /specoff
0:1:48 | {FFCC00}huso608(14) {FFFFFF}Kamyoncu olarak spawn oldu.
0:1:58 | [CMD] HeRquL(8) => /uyar 11 ters yön
0:1:58 | buyukustadbitti(11) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:2:2 | [CMD] _Onur.King_(10) => /work
0:2:7 | [CMD] huso608(14) => /spec 6
0:2:9 | [CMD] _Onur.King_(10) => /sac
0:2:13 | [CMD] Moskova_Kurdu(30) => /a baþgan yarýsýný verdim þimdik 
0:2:19 | [CMD] Jodor(6) => /kemer
0:2:20 | [CMD] huso608(14) => /a gerek yok
0:2:20 | [CMD] Moskova_Kurdu(30) => /a diðerini de not aldým 
0:2:21 | [CMD] DarkFlow(25) => /tamir
0:2:23 | [CMD] huso608(14) => /specoff
0:2:23 | {FFCC00}huso608(14) {FFFFFF}Kamyoncu olarak spawn oldu.
0:2:27 | [SirketCHT] Madness(31): !yuzdesini elinizlemi hesapýyonuz
0:2:30 | [CMD] Moskova_Kurdu(30) => /sirket
0:2:31 | buyukustadbitti(11) oyuna girdi [IP: 176.40.221.161]
0:2:32 | [CMD] Asi_Kaptan(7) => /tamir
0:2:33 | [CMD] _Onur.King_(10) => /sac
0:2:41 | 
0:2:43 | {FFCC00}buyukustadbitti(11) {FFFFFF}Polis olarak spawn oldu.
0:2:50 | [CMD] huso608(14) => /a ne kadar yolladýn
0:2:50 | _Onur.King_(10): sarký guzel
0:2:52 | [CMD] buyukustadbitti(11) => /rescue
0:2:56 | [CMD] Moskova_Kurdu(30) => /a 19.5M 
0:2:58 | [CMD] _Onur.King_(10) => /modifiye
0:3:0 | {FFCC00}babahadi(32) {FFFFFF}Kamyoncu olarak spawn oldu.
0:3:1 | [CMD] PENEZ(16) => /rescue
0:3:5 | [SirketCHT] Moskova_Kurdu(30): ! o kadar da deðil .d 
0:3:7 | [CMD] PENEZ(16) => /goreviptal
0:3:7 | [CMD] huso608(14) => /a tmm yeter gerisi sirkette kalsýn
0:3:8 | HeRquL(8): o deðilde tespit ettim týr teker sesinden araç teker sesi çýkýyor
0:3:11 | [CMD] PENEZ(16) => /rescue
0:3:16 | [CMD] huso608(14) => /a dagýtýrsýnýz
0:3:20 | [CMD] Moskova_Kurdu(30) => /a þirketten mi ayrýldýn bana mý öyle geldi? 
0:3:23 | [CMD] PENEZ(16) => /rescue
0:3:27 | [CMD] Madness(31) => /saat 0
0:3:30 | [CMD] Madness(31) => /saat 4
0:3:33 | babahadi(32) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:3:37 | [CMD] Moskova_Kurdu(30) => /sirket
0:3:42 | [CMD] huso608(14) => /a aynen yeter bu kadar tek takýlacam biraz
0:3:47 | [CMD] Moskova_Kurdu(30) => /a :/ 
0:3:47 | PENEZ(16) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
0:3:49 | _Onur.King_(10): gýselerý nasý satýn alýyoruz _?
0:3:51 | Asi_Kaptan(7): Sezzer Laglýsýn
0:3:54 | Moskova_Kurdu(30): Gerçek parayla
0:3:59 | _Onur.King_(10): ne kadara ?
0:4:1 | huso608(14): @10 www.trucksamp.com 
0:4:1 | sezzer(26): olabilir asi yaklaþma
0:4:10 | huso608(14): giselerin uzerinde yazar miktarlarý
0:4:12 | [CMD] HeRquL(8) => /a markette giþe varmý ki
0:4:15 | [CMD] huso608(14) => /spec 10
0:4:16 | [CMD] HeRquL(8) => /a yok diye biliyýorm
0:4:32 | [CMD] Jodor(6) => /vtamir
0:4:44 | [CMD] Moskova_Kurdu(30) => /atamir
0:4:45 | [CMD] Moskova_Kurdu(30) => /fuel
0:4:49 | [CMD] HeRquL(8) => /a markette giþe yok
0:4:58 | [CMD] Jodor(6) => /sirket 
0:5:0 | _Onur.King_(10): ev satýn alabýlýyormuyuz
0:5:3 | HeRquL(8): evet
0:5:7 | _Onur.King_(10): en ucuzu ne kadar
0:5:13 | sezzer(26): 2 m
0:5:13 | HeRquL(8): 3m civarý
0:5:18 | huso608(14): @10 arastýrarak bulabilirsiniz
