0:0:1 | smosercan(11): yok ya 
0:0:4 | smosercan(11): sen git
0:0:12 | smosercan(11): evet bu
0:0:16 | [CMD] huso608(10) => /duyuru al dumper sehrin tadini cikar
0:0:19 | [CMD] nik0tin(9) => /araba 
0:0:23 | [CMD] huso608(10) => /work
0:0:29 | nik0tin(9): al sür onu benim araç o 
0:0:35 | [CMD] nik0tin(9) => /atamir 
0:0:36 | [CMD] smosercan(11) => /renk
0:0:41 | [CMD] smosercan(11) => /kemer
0:0:41 | [CMD] huso608(10) => /duyuru koca kamyonla sw keyfi farkli oluyor
0:0:45 | [CMD] smosercan(11) => /modifiye
0:0:54 | [CMD] smosercan(11) => /modifiye
0:1:9 | [CMD] huso608(10) => /duyuru brokoli sen ne vitaminli sey sin oyle
0:1:16 | Brokoli(8): :D
0:1:21 | Brokoli(8): ben gdoluyum
0:1:26 | [CMD] huso608(10) => /duyuru gdo yasak sana 
0:1:26 | [CMD] nik0tin(9) => /skapat 
0:1:32 | [CMD] huso608(10) => /duyuru gedeo yasak sana 
0:1:47 | [CMD] huso608(10) => /duyuru olmaz ben brokolimi istiyorum
0:2:5 | [CMD] huso608(10) => /work
0:2:8 | Brokoli(8): tamam al beni götür buzdolabýna
0:2:26 | [CMD] huso608(10) => /duyuru kamyon ceker 31 ton gonlum ceker brokoli hilton
0:2:40 | Brokoli(8): ne dedin duyamadým
0:2:40 | nik0tin(9): yaz geldi grip oluyoruz 
0:2:42 | [CMD] smosercan(11) => /tamir
0:2:48 | Brokoli(8): ne dedin duyamadým
0:2:52 | [CMD] huso608(10) => /duyuru kamyon ceker 31 ton gonlum ceker brokoli hilton
0:2:58 | Brokoli(8): :D
0:3:18 | [CMD] huso608(10) => /duyuru cek cek brokoliyi dolaba cek
0:3:19 | [CMD] smosercan(11) => /tamir
0:3:20 | nik0tin(9): huso dayý bu gidiþle þair olcaksýn :D 
0:3:25 | Brokoli(8): etk yapýn
0:3:32 | Brokoli(8): :D
0:3:36 | [CMD] huso608(10) => /duyuru ben bi yurursem brokoli bile hasta kalir
0:3:38 | nik0tin(9): kim gelicek 
0:3:49 | Brokoli(8): skor lazým bana
0:3:50 | [CMD] huso608(10) => /duyuru sen ben o bi de uc harfliler
0:3:50 | [CMD] smosercan(11) => /cevir
0:3:52 | [CMD] smosercan(11) => /cevir
0:3:54 | [CMD] smosercan(11) => /tamir
0:4:8 | huso608(10): zaten uc user  var bi tanesi afk
0:4:22 | [CMD] huso608(10) => /odul 6
0:4:24 | [CMD] huso608(10) => /odul 8
0:4:27 | nik0tin(9): kurucu admin olsa 
0:4:27 | [CMD] huso608(10) => /odul 9
0:4:31 | [CMD] huso608(10) => /odul 11
0:4:33 | [CMD] Brokoli(8) => /kemer
0:4:43 | [CMD] smosercan(11) => /tamir
0:4:46 | [CMD] huso608(10) => /duyuru gene uc harfliler geldi
0:4:48 | [CMD] nik0tin(9) => /atamir 
0:4:56 | Brokoli(8): eyvah
0:5:3 | Brokoli(8): nas okuyun
0:5:4 | [CMD] huso608(10) => /duyuru dagit huso608 cocuklara 
0:5:7 | Brokoli(8): :D
0:5:9 | Jodor(0) oyuna girdi [IP: 88.226.219.16]
0:5:18 | [CMD] nik0tin(9) => /car tram 1 1 
0:5:20 | 
0:5:24 | {FFCC00}Jodor(0) {FFFFFF}Kamyoncu olarak spawn oldu.
0:5:24 | [CMD] huso608(10) => /duyuru sen benim kadar cekicisini bulamazsýn sw de
0:5:28 | [CMD] Jodor(0) => /sa
0:5:31 | [CMD] huso608(10) => /as
0:5:35 | [CMD] Jodor(0) => /myskin 299
0:5:38 | [CMD] Jodor(0) => /sirket
0:5:39 | [CMD] Brokoli(8) => /otur
0:5:41 | [CMD] huso608(10) => /duyuru hos geldin babus
0:5:41 | [LOCAL]nik0tin(9): yana biniliyor mu 
0:5:41 | [CMD] nik0tin(9) => /l yana biniliyor mu 
0:5:45 | [CMD] nik0tin(9) => /as 
0:5:45 | Brokoli(8): hb
0:5:52 | [LOCAL]smosercan(11): bas
0:5:52 | [CMD] smosercan(11) => /l bas
0:6:4 | [CMD] huso608(10) => /duyuru karisma yol brokoli de
0:6:8 | Brokoli(8): :D
0:6:13 | [CMD] huso608(10) => /work
0:6:16 | Brokoli(8): bende tranvaydayým
0:6:23 | [CMD] huso608(10) => /spec 8
0:6:29 | [CMD] Brokoli(8) => /animkapat
0:6:33 | nik0tin(9): huso dayý tramvay turu attýrayým mý sana 
0:6:36 | [CMD] huso608(10) => /duyuru bi halayini aliriz
0:6:48 | [CMD] Brokoli(8) => /yat
0:6:53 | [CMD] Brokoli(8) => /otur
0:7:0 | [LOCAL]Brokoli(8): basss
0:7:0 | [CMD] Brokoli(8) => /l basss
0:7:0 | [CMD] huso608(10) => /duyuru soforune asilirim brokoli nikotin sonucta
0:7:6 | [CMD] Jodor(0) => /karakok
0:7:6 | [LOCAL]Brokoli(8): basss
0:7:6 | [CMD] Brokoli(8) => /l basss
0:7:7 | [LOCAL]Brokoli(8): basss
0:7:7 | [CMD] Brokoli(8) => /l basss
0:7:7 | [LOCAL]Brokoli(8): basss
0:7:7 | [CMD] Brokoli(8) => /l basss
0:7:9 | [CMD] Jodor(0) => /karakol
0:7:12 | [CMD] Jodor(0) => /cezaode
0:7:14 | [LOCAL]huso608(10): nereye basýcak
0:7:14 | [CMD] huso608(10) => /l nereye basýcak
0:7:21 | [CMD] Jodor(0) => /rescue
0:7:26 | [LOCAL]nik0tin(9): kaza yapcaz 
0:7:26 | [CMD] nik0tin(9) => /l kaza yapcaz 
0:7:44 | [CMD] huso608(10) => /duyuru masallah son surat gidiyor fren de yok
0:7:56 | [CMD] huso608(10) => /specoff
0:7:56 | huso608(10) Oduncu olarak spawn oldu.
0:7:56 | [CMD] Jodor(0) => /modifiye
0:7:59 | [CMD] huso608(10) => /sac
0:8:1 | nik0tin(9): 160 
0:8:1 | [CMD] huso608(10) => /rescue
0:8:7 | Brokoli(8): dolmuþta söyle yazýyordu býz hiç kimseyi yarý yolda býrakmadýk müsait bir yerde dediler yazýyodu kuscaktým
0:8:9 | [CMD] huso608(10) => /odunsat
0:8:22 | [CMD] Jodor(0) => /work
0:8:23 | [CMD] huso608(10) => /work
0:8:36 | huso608(10): sen bi de beni gorsen o zaman anlarsýn dolmusculardan kim kaldý
0:8:38 | Brokoli(8): alo
0:8:43 | Brokoli(8): ben
0:8:46 | [LOCAL]smosercan(11): bas
0:8:46 | [CMD] smosercan(11) => /l bas
0:8:47 | Brokoli(8): trene bindim
0:8:50 | Brokoli(8): :D
0:9:2 | Brokoli(8): diðer trene bindim
0:9:3 | [CMD] smosercan(11) => /tamir
0:9:5 | [KAMYONCU] Jodor, San Fierro Furniture'den SF Financial Center'e Elektronik Esya tasidi. Kazanc: 7218$, 2 Skor ve 5 EXP Sure: 22 Saniye
0:9:10 | Brokoli(8): ücretsiz tur
0:9:12 | [CMD] huso608(10) => /a izmirde en hýzlý dolmuscu burda j10 ile 160 gordum direksiyon sallandý
0:9:12 | Brokoli(8): :D
0:9:19 | huso608(10): izmirde en hýzlý dolmuscu burda j10 ile 160 gordum direksiyon sallandý
0:9:30 | nik0tin(9): :D 
0:9:35 | [CMD] Jodor(0) => /myskin 294
0:9:37 | huso608(10): yarim hidrolik direksiyon yarým tur donuyor zaten
0:9:43 | [CMD] Jodor(0) => /meslek
0:9:53 | Jodor(0) Oduncu olarak spawn oldu.
0:9:53 | huso608(10): arabada 25 kisi var herkes yavas dedikce biz de yarý yolda býrakmadýk 
0:9:56 | nik0tin(9): aðýr vasýta direksiyonu iyi 
0:10:11 | [CMD] Jodor(0) => /work
0:10:11 | huso608(10): aynen cunku sýkýntýsý yok hepsi teknik makina
0:10:19 | [CMD] Brokoli(8) => /animkapat
0:10:23 | [LOCAL]huso608(10): hosgeldin baba
0:10:23 | [CMD] huso608(10) => /l hosgeldin baba
0:10:26 | [CMD] huso608(10) => /work
0:10:27 | smosercan(11): :D
0:10:30 | Brokoli(8): admin tplen bi
0:10:32 | smosercan(11): nasýl ama tiren
0:10:33 | [CMD] huso608(10) => /myskin 249
0:10:35 | Brokoli(8): ss al foruma at
0:10:37 | nik0tin(9): sercan tost olcaksýn 
0:10:38 | [CMD] Brokoli(8) => /otur
0:10:38 | [LOCAL]Jodor(0): hb. biraz afk meslek takýlayým :)
0:10:38 | [CMD] Jodor(0) => /l hb. biraz afk meslek takýlayým :)
0:10:44 | [CMD] smosercan(11) => /tamir
0:10:49 | Brokoli(8): güneþlenme qeyfi
0:10:52 | smosercan(11): araba giti
0:10:52 | [CMD] nik0tin(9) => /goto 8 
0:10:52 | huso608(10): F8 tusuyla alabilirsin
0:10:52 | [CMD] Jodor(0) => /basarimlar 
0:10:58 | [LOCAL]huso608(10): tmm baba
0:10:58 | [CMD] huso608(10) => /l tmm baba
0:11:7 | huso608(10): sercan arabamý lazým sana
0:11:8 | [CMD] Jodor(0) => /myskin 294
0:11:11 | smosercan(11) oyundan cIktI (Hata/Crash) (IP: 88.230.102.19)
0:11:14 | [CMD] nik0tin(9) => /a gizlice tren sürsem sýkýntý olur mu 
0:11:27 | [CMD] huso608(10) => /a bak rahatina ben bilmiyorum :D
0:11:36 | [CMD] Brokoli(8) => /animkapat
0:11:39 | [CMD] Jodor(0) => /balon
0:11:41 | [CMD] nik0tin(9) => /a botun biri iþi býrakmýþ :D 
0:11:47 | [CMD] huso608(10) => /duyuru hatunlarla sikinti basladi hepsi ise basladi 
0:11:47 | [CMD] Brokoli(8) => /otur
0:11:51 | [CMD] nik0tin(9) => /portvehicle 690 
0:11:56 | Brokoli(8): lav hehehe
0:11:58 | [CMD] huso608(10) => /a calýsmasýn pezevenk
0:12:0 | [CMD] Jodor(0) => /balon
0:12:2 | Brokoli(8): :D
0:12:8 | [CMD] nik0tin(9) => /fly 
0:12:9 | huso608(10): ise basladýlar beni zora sokuyorlar
0:12:11 | [CMD] huso608(10) => /work
0:12:12 | [CMD] Brokoli(8) => /convoyayril
0:12:14 | [CMD] Jodor(0) => /odunsat
0:12:20 | [CMD] nik0tin(9) => /a clean geliyor 
0:12:27 | [CMD] huso608(10) => /a gelsin baba
0:12:32 | [CMD] nik0tin(9) => /cleanupcars 
0:12:35 | [CMD] Jodor(0) => /work
0:12:39 | Brokoli(8): benim proje ödevim var ben gider
0:12:47 | Brokoli(8): yoksa mokoko
0:12:49 | huso608(10): tmm goruselim
0:12:53 | [CMD] Brokoli(8) => /gobus
0:12:53 | nik0tin(9): ßß
0:13:3 | [CMD] Brokoli(8) => /icerigir
0:13:10 | [CMD] Brokoli(8) => /isyerimenu
0:13:12 | [CMD] huso608(10) => /duyuru ara beni bul beni ben seni bulamam yoksa
0:13:20 | [CMD] Brokoli(8) => /isyerimenu
0:13:23 | [CMD] Brokoli(8) => /isyerimenu
0:13:36 | [CMD] huso608(10) => /duyuru karisma para brokolide 
0:13:40 | [CMD] huso608(10) => /duyuru karisma para brokoli de 
0:13:49 | [CMD] huso608(10) => /duyuru karisma para bol brokoli de 
0:13:55 | [CMD] huso608(10) => /work
0:14:0 | [CMD] Jodor(0) => /sirket 
0:14:3 | [CMD] huso608(10) => /duyuru kes odunlari kes kes 
0:14:25 | [CMD] Jodor(0) => /work
0:14:31 | [CMD] huso608(10) => /duyuru en sevdigim guzel brokoli senden yok baskasi guzel
0:14:50 | [CMD] huso608(10) => /duyuru projeni yap alma mokoko
0:14:57 | nik0tin(9): .d 
0:15:10 | [CMD] Brokoli(8) => /buybus
0:15:12 | nik0tin(9): mokoko alýrsan kalýrsýn derste 
0:15:16 | [CMD] Brokoli(8) => /buybus
0:15:18 | Brokoli(8): aynen
0:15:29 | [CMD] huso608(10) => /duyuru vermezsen verme bana brokolim yeter
0:15:29 | nik0tin(9): lise projesi mi 
0:15:36 | Brokoli(8): :D
0:15:37 | Brokoli(8): evet
0:15:43 | nik0tin(9): hangi ders 
0:15:44 | [CMD] huso608(10) => /duyuru lise kac
0:15:47 | [CMD] huso608(10) => /work
0:15:50 | Brokoli(8): fizik
0:15:52 | huso608(10): hazirlik
0:16:0 | nik0tin(9): 9. sinif fizik mi :D 
0:16:2 | [CMD] huso608(10) => /duyuru allah kolaylik versin 
0:16:4 | Brokoli(8): ben sabahlýcam daha
0:16:10 | nik0tin(9): konu ney 
0:16:12 | Brokoli(8): hadi bb
0:16:13 | huso608(10): anatomi mi bakýcan ne yapýcan
0:16:16 | [CMD] Jodor(0) => /work
0:16:18 | Brokoli(8): fizikin alt dallarý
0:16:23 | nik0tin(9): basit 
0:16:27 | Brokoli(8): aynen
0:16:32 | nik0tin(9): termodinamik 
0:16:33 | Brokoli(8): hadi bb
0:16:38 | huso608(10): gurusuruz
0:16:40 | Brokoli(8): rpara atsanýza
0:16:42 | nik0tin(9): fizikokimya 
0:16:44 | Brokoli(8): para atsanýza
0:16:55 | [CMD] huso608(10) => /uyar 8 para istemek yasak adminden
0:16:56 | Brokoli(8) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
0:17:0 | nik0tin(9): adminden para istemek yasah 
0:17:7 | huso608(10): gonderdim tam gitti
0:17:17 | nik0tin(9): hayýr iþledik :D 
0:17:29 | nik0tin(9): yapar projeyi 
0:17:32 | [CMD] huso608(10) => /duyuru boyle adminlere can kurban
0:17:35 | [CMD] huso608(10) => /work
0:17:43 | Brokoli(7) oyuna girdi [IP: 95.10.30.97]
0:17:53 | huso608(10): klavyeye basmaktan tuslar bile yalama oldu
0:17:55 | 
0:17:57 | {FFCC00}Brokoli(7) {FFFFFF}Kamyoncu olarak spawn oldu.
0:17:58 | huso608(10): geldi
0:18:0 | [CMD] Jodor(0) => /work
0:18:2 | [CMD] nik0tin(9) => /duyuru ~r~~h~~h~ <3 HUSO608
0:18:4 | Brokoli(7): iyi banlanmamýþým
0:18:8 | Brokoli(7): korktum
0:18:8 | huso608(10): :D
0:18:12 | huso608(10): gitmedinmi sen
0:18:13 | Brokoli(7): hadi bb
0:18:15 | huso608(10): ßß
0:18:19 | Brokoli(7): korktum ya
0:18:20 | nik0tin(9): atak mý ban 
0:18:25 | Brokoli(7): kick atýn
